DrugID;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID
52312;1;2015;11;"110315";2.00;152.02;100.69;131.00;0.00;123798
39583;1;2015;11;"170615";5.00;17.00;17.28;21.00;0.00;123798
32962;1;2015;11;"720915";3.00;29.89;32.31;39.00;0.00;123798
52322;1;2015;11;"170715";3.00;53.01;56.46;67.00;0.00;123798
47883;1;2015;11;"S2848";1.00;220.58;229.95;274.00;0.00;123798
55410;1;2015;11;"050815";3.00;14.58;16.67;19.00;0.00;123798
439;1;2015;11;"5V007";2.00;73.59;75.82;90.00;0.00;123798
46125;1;2015;11;"05150769";5.00;44.36;46.14;56.00;0.00;123798
27906;1;2015;11;"350615";2.00;29.59;29.48;36.00;0.00;123798
68883;1;2015;11;"1641014";5.00;57.78;59.50;71.00;0.00;123798
39583;1;2015;11;"170615";2.00;17.00;17.22;21.00;0.00;123798
39583;1;2015;11;"170615";3.00;17.00;17.22;21.00;0.00;123798
35838;1;2015;11;"4290915";5.00;8.35;7.59;9.00;0.00;123798
56874;1;2015;11;"120715";1.00;552.10;501.26;581.00;0.00;558
51762;1;2015;11;"737189";2.00;304.62;316.16;377.00;0.00;558
17933;1;2015;11;"360615";3.00;65.85;63.12;76.20;0.00;558
229;1;2015;11;"6256035";1.00;296.73;300.72;360.00;0.00;558
68275;1;2015;11;"280815";5.00;19.57;20.19;24.50;0.00;123798
49649;1;2015;11;"R2163";10.00;71.23;76.78;91.00;0.00;123798
51632;1;2015;11;"03VL0515";5.00;23.50;24.84;30.00;0.00;123798
28352;1;2015;11;"300715";5.00;9.42;10.48;12.50;0.00;123798
57938;1;2015;11;"430815";5.00;63.81;63.28;76.00;0.00;123798
45387;1;2015;11;"B505112";3.00;21.18;23.93;28.70;0.00;122856
32662;1;2015;11;"120815";5.00;8.92;10.08;12.00;0.00;122856
67944;1;2015;11;"050815";5.00;6.80;7.68;9.00;0.00;122856
51495;1;2015;11;"48658";2.00;284.63;280.70;337.62;0.00;123798
